'Time','ECG1'
'[16:00:00.000]',-0.725
'[16:00:00.004]',-0.905
'[16:00:00.008]',-0.88
'[16:00:00.012]',-0.72
'[16:00:00.016]',-0.52
'[16:00:00.020]',-0.33
'[16:00:00.024]',-0.14
'[16:00:00.028]',-0.055
'[16:00:00.032]',-0.005
'[16:00:00.036]',0.04
'[16:00:00.040]',0.05
'[16:00:00.044]',0.085
'[16:00:00.048]',0.1
'[16:00:00.052]',0.1
'[16:00:00.056]',0.105
'[16:00:00.060]',0.12
'[16:00:00.064]',0.12
'[16:00:00.068]',0.115
'[16:00:00.072]',0.12
'[16:00:00.076]',0.13
'[16:00:00.080]',0.145
'[16:00:00.084]',0.145
'[16:00:00.088]',0.15
'[16:00:00.092]',0.18
'[16:00:00.096]',0.17
'[16:00:00.100]',0.16
'[16:00:00.104]',0.145
'[16:00:00.108]',0.18
'[16:00:00.112]',0.165
'[16:00:00.116]',0.165
'[16:00:00.120]',0.17
'[16:00:00.124]',0.185
'[16:00:00.128]',0.185
'[16:00:00.132]',0.19
'[16:00:00.136]',0.205
'[16:00:00.140]',0.21
'[16:00:00.144]',0.225
'[16:00:00.148]',0.245
'[16:00:00.152]',0.26
'[16:00:00.156]',0.275
'[16:00:00.160]',0.285
'[16:00:00.164]',0.3
'[16:00:00.168]',0.3
'[16:00:00.172]',0.3
'[16:00:00.176]',0.32
'[16:00:00.180]',0.345
'[16:00:00.184]',0.34
'[16:00:00.188]',0.35
'[16:00:00.192]',0.355
'[16:00:00.196]',0.36
'[16:00:00.200]',0.38
'[16:00:00.204]',0.385
'[16:00:00.208]',0.385
'[16:00:00.212]',0.385
'[16:00:00.216]',0.4
'[16:00:00.220]',0.375
'[16:00:00.224]',0.345
'[16:00:00.228]',0.325
'[16:00:00.232]',0.31
'[16:00:00.236]',0.28
'[16:00:00.240]',0.255
'[16:00:00.244]',0.23
'[16:00:00.248]',0.21
'[16:00:00.252]',0.175
'[16:00:00.256]',0.185
'[16:00:00.260]',0.15
'[16:00:00.264]',0.135
