'Time','ECG1'
'[10:42:00.000]',0.675
'[10:42:00.008]',0.665
'[10:42:00.016]',0.655
'[10:42:00.023]',0.645
'[10:42:00.031]',0.635
'[10:42:00.039]',0.625
'[10:42:00.047]',0.605
'[10:42:00.055]',0.595
'[10:42:00.063]',0.585
'[10:42:00.070]',0.575
'[10:42:00.078]',0.565
'[10:42:00.086]',0.555
'[10:42:00.094]',0.545
'[10:42:00.102]',0.535
'[10:42:00.109]',0.515
'[10:42:00.117]',0.515
'[10:42:00.125]',0.505
'[10:42:00.133]',0.495
'[10:42:00.141]',0.475
'[10:42:00.148]',0.475
'[10:42:00.156]',0.475
'[10:42:00.164]',0.465
'[10:42:00.172]',0.445
'[10:42:00.180]',0.445
'[10:42:00.188]',0.435
'[10:42:00.195]',0.425
'[10:42:00.203]',0.415
'[10:42:00.211]',0.415
'[10:42:00.219]',0.395
'[10:42:00.227]',0.395
'[10:42:00.234]',0.385
'[10:42:00.242]',0.375
'[10:42:00.250]',0.365
'[10:42:00.258]',0.365
'[10:42:00.266]',0.355
'[10:42:00.273]',0.345
'[10:42:00.281]',0.335
'[10:42:00.289]',0.335
'[10:42:00.297]',0.315
'[10:42:00.305]',0.315
'[10:42:00.313]',0.295
'[10:42:00.320]',0.295
'[10:42:00.328]',0.275
'[10:42:00.336]',0.285
'[10:42:00.344]',0.275
'[10:42:00.352]',0.265
'[10:42:00.359]',0.255
'[10:42:00.367]',0.255
'[10:42:00.375]',0.245
'[10:42:00.383]',0.235
'[10:42:00.391]',0.225
'[10:42:00.398]',0.215
'[10:42:00.406]',0.215
'[10:42:00.414]',0.205
'[10:42:00.422]',0.195
'[10:42:00.430]',0.195
'[10:42:00.438]',0.185
'[10:42:00.445]',0.165
'[10:42:00.453]',0.155
'[10:42:00.461]',0.135
'[10:42:00.469]',-0.375
'[10:42:00.477]',-0.955
'[10:42:00.484]',-0.885
'[10:42:00.492]',-0.865
'[10:42:00.500]',-0.855
'[10:42:00.508]',-0.845
'[10:42:00.516]',-0.845
'[10:42:00.523]',-0.835
'[10:42:00.531]',-0.815
'[10:42:00.539]',-0.805
'[10:42:00.547]',-0.805
'[10:42:00.555]',-0.785
'[10:42:00.563]',-0.775
'[10:42:00.570]',-0.775
'[10:42:00.578]',-0.765
'[10:42:00.586]',-0.745
'[10:42:00.594]',-0.735
'[10:42:00.602]',-0.735
'[10:42:00.609]',-0.725
'[10:42:00.617]',-0.705
'[10:42:00.625]',-0.695
'[10:42:00.633]',-0.695
'[10:42:00.641]',-0.685
'[10:42:00.648]',-0.675
'[10:42:00.656]',-0.665
'[10:42:00.664]',-0.655
'[10:42:00.672]',-0.655
'[10:42:00.680]',-0.635
'[10:42:00.688]',-0.625
'[10:42:00.695]',-0.625
'[10:42:00.703]',-0.615
'[10:42:00.711]',-0.605
'[10:42:00.719]',-0.595
'[10:42:00.727]',-0.585
'[10:42:00.734]',-0.585
'[10:42:00.742]',-0.575
'[10:42:00.750]',-0.555
'[10:42:00.758]',-0.555
'[10:42:00.766]',-0.545
'[10:42:00.773]',-0.535
'[10:42:00.781]',-0.525
'[10:42:00.789]',-0.515
'[10:42:00.797]',-0.515
'[10:42:00.805]',-0.505
'[10:42:00.813]',-0.495
'[10:42:00.820]',-0.485
'[10:42:00.828]',-0.475
'[10:42:00.836]',-0.465
'[10:42:00.844]',-0.455
'[10:42:00.852]',-0.445
'[10:42:00.859]',-0.445
'[10:42:00.867]',-0.425
'[10:42:00.875]',-0.415
'[10:42:00.883]',-0.415
'[10:42:00.891]',-0.415
'[10:42:00.898]',-0.395
'[10:42:00.906]',-0.385
'[10:42:00.914]',-0.375
'[10:42:00.922]',-0.375
'[10:42:00.930]',-0.375
'[10:42:00.938]',-0.365
'[10:42:00.945]',-0.355
'[10:42:00.953]',-0.335
'[10:42:00.961]',-0.315
'[10:42:00.969]',-0.145
'[10:42:00.977]',0.755
'[10:42:00.984]',0.685
'[10:42:00.992]',0.665
'[10:42:01.000]',0.665
'[10:42:01.008]',0.655
'[10:42:01.016]',0.635
'[10:42:01.023]',0.625
'[10:42:01.031]',0.615
'[10:42:01.039]',0.615
'[10:42:01.047]',0.595
'[10:42:01.055]',0.585
'[10:42:01.063]',0.565
'[10:42:01.070]',0.555
'[10:42:01.078]',0.535
'[10:42:01.086]',0.525
'[10:42:01.094]',0.515
'[10:42:01.102]',0.505
'[10:42:01.109]',0.495
'[10:42:01.117]',0.485
'[10:42:01.125]',0.475
'[10:42:01.133]',0.465
'[10:42:01.141]',0.445
'[10:42:01.148]',0.445
'[10:42:01.156]',0.425
'[10:42:01.164]',0.425
'[10:42:01.172]',0.405
'[10:42:01.180]',0.405
'[10:42:01.188]',0.395
'[10:42:01.195]',0.385
'[10:42:01.203]',0.375
'[10:42:01.211]',0.375
'[10:42:01.219]',0.365
'[10:42:01.227]',0.365
'[10:42:01.234]',0.355
'[10:42:01.242]',0.345
'[10:42:01.250]',0.345
'[10:42:01.258]',0.345
'[10:42:01.266]',0.325
'[10:42:01.273]',0.325
'[10:42:01.281]',0.315
'[10:42:01.289]',0.315
'[10:42:01.297]',0.295
'[10:42:01.305]',0.295
'[10:42:01.313]',0.295
'[10:42:01.320]',0.285
'[10:42:01.328]',0.275
'[10:42:01.336]',0.265
'[10:42:01.344]',0.265
'[10:42:01.352]',0.265
'[10:42:01.359]',0.245
'[10:42:01.367]',0.245
'[10:42:01.375]',0.245
'[10:42:01.383]',0.235
'[10:42:01.391]',0.225
'[10:42:01.398]',0.215
'[10:42:01.406]',0.215
'[10:42:01.414]',0.205
'[10:42:01.422]',0.205
'[10:42:01.430]',0.195
'[10:42:01.438]',0.195
'[10:42:01.445]',0.175
'[10:42:01.453]',0.165
'[10:42:01.461]',0.145
'[10:42:01.469]',0.075
'[10:42:01.477]',-0.905
'[10:42:01.484]',-0.855
'[10:42:01.492]',-0.845
'[10:42:01.500]',-0.835
'[10:42:01.508]',-0.835
'[10:42:01.516]',-0.835
'[10:42:01.523]',-0.815
'[10:42:01.531]',-0.815
'[10:42:01.539]',-0.805
'[10:42:01.547]',-0.795
'[10:42:01.555]',-0.785
'[10:42:01.563]',-0.775
'[10:42:01.570]',-0.765
'[10:42:01.578]',-0.755
'[10:42:01.586]',-0.735
'[10:42:01.594]',-0.735
'[10:42:01.602]',-0.715
'[10:42:01.609]',-0.705
'[10:42:01.617]',-0.705
'[10:42:01.625]',-0.685
'[10:42:01.633]',-0.685
'[10:42:01.641]',-0.675
'[10:42:01.648]',-0.655
'[10:42:01.656]',-0.655
'[10:42:01.664]',-0.645
'[10:42:01.672]',-0.635
'[10:42:01.680]',-0.625
'[10:42:01.688]',-0.615
'[10:42:01.695]',-0.605
'[10:42:01.703]',-0.595
'[10:42:01.711]',-0.585
'[10:42:01.719]',-0.585
'[10:42:01.727]',-0.565
'[10:42:01.734]',-0.565
'[10:42:01.742]',-0.545
'[10:42:01.750]',-0.535
'[10:42:01.758]',-0.535
'[10:42:01.766]',-0.525
'[10:42:01.773]',-0.515
'[10:42:01.781]',-0.505
'[10:42:01.789]',-0.495
'[10:42:01.797]',-0.485
'[10:42:01.805]',-0.475
'[10:42:01.813]',-0.465
'[10:42:01.820]',-0.455
'[10:42:01.828]',-0.455
'[10:42:01.836]',-0.445
'[10:42:01.844]',-0.435
'[10:42:01.852]',-0.435
'[10:42:01.859]',-0.425
'[10:42:01.867]',-0.415
'[10:42:01.875]',-0.405
'[10:42:01.883]',-0.395
'[10:42:01.891]',-0.395
'[10:42:01.898]',-0.375
'[10:42:01.906]',-0.365
'[10:42:01.914]',-0.375
'[10:42:01.922]',-0.365
'[10:42:01.930]',-0.345
'[10:42:01.938]',-0.335
'[10:42:01.945]',-0.335
'[10:42:01.953]',-0.325
'[10:42:01.961]',-0.295
'[10:42:01.969]',-0.095
'[10:42:01.977]',0.795
'[10:42:01.984]',0.715
'[10:42:01.992]',0.705
'[10:42:02.000]',0.695
'[10:42:02.008]',0.685
'[10:42:02.016]',0.675
'[10:42:02.023]',0.675
'[10:42:02.031]',0.665
'[10:42:02.039]',0.645
'[10:42:02.047]',0.635
'[10:42:02.055]',0.625
'[10:42:02.063]',0.615
'[10:42:02.070]',0.615
'[10:42:02.078]',0.595
'[10:42:02.086]',0.585
'[10:42:02.094]',0.575
'[10:42:02.102]',0.565
'[10:42:02.109]',0.545
'[10:42:02.117]',0.545
'[10:42:02.125]',0.535
'[10:42:02.133]',0.525
'[10:42:02.141]',0.515
'[10:42:02.148]',0.505
'[10:42:02.156]',0.495
'[10:42:02.164]',0.485
'[10:42:02.172]',0.475
'[10:42:02.180]',0.475
'[10:42:02.188]',0.465
'[10:42:02.195]',0.455
'[10:42:02.203]',0.445
'[10:42:02.211]',0.435
'[10:42:02.219]',0.425
'[10:42:02.227]',0.425
'[10:42:02.234]',0.405
'[10:42:02.242]',0.405
'[10:42:02.250]',0.405
'[10:42:02.258]',0.395
'[10:42:02.266]',0.375
'[10:42:02.273]',0.365
'[10:42:02.281]',0.365
'[10:42:02.289]',0.355
'[10:42:02.297]',0.345
'[10:42:02.305]',0.345
'[10:42:02.313]',0.335
'[10:42:02.320]',0.325
'[10:42:02.328]',0.315
'[10:42:02.336]',0.315
'[10:42:02.344]',0.305
'[10:42:02.352]',0.295
'[10:42:02.359]',0.285
'[10:42:02.367]',0.275
'[10:42:02.375]',0.265
'[10:42:02.383]',0.265
'[10:42:02.391]',0.255
'[10:42:02.398]',0.255
'[10:42:02.406]',0.235
'[10:42:02.414]',0.235
'[10:42:02.422]',0.225
'[10:42:02.430]',0.225
'[10:42:02.438]',0.215
'[10:42:02.445]',0.205
'[10:42:02.453]',0.185
'[10:42:02.461]',0.165
'[10:42:02.469]',-0.205
'[10:42:02.477]',-0.935
'[10:42:02.484]',-0.865
'[10:42:02.492]',-0.845
'[10:42:02.500]',-0.835
'[10:42:02.508]',-0.825
'[10:42:02.516]',-0.815
'[10:42:02.523]',-0.795
'[10:42:02.531]',-0.775
'[10:42:02.539]',-0.775
'[10:42:02.547]',-0.765
'[10:42:02.555]',-0.755
'[10:42:02.563]',-0.735
'[10:42:02.570]',-0.725
'[10:42:02.578]',-0.725
'[10:42:02.586]',-0.705
'[10:42:02.594]',-0.695
'[10:42:02.602]',-0.685
'[10:42:02.609]',-0.675
'[10:42:02.617]',-0.655
'[10:42:02.625]',-0.655
'[10:42:02.633]',-0.635
'[10:42:02.641]',-0.635
'[10:42:02.648]',-0.625
'[10:42:02.656]',-0.615
'[10:42:02.664]',-0.595
'[10:42:02.672]',-0.595
'[10:42:02.680]',-0.585
'[10:42:02.688]',-0.585
'[10:42:02.695]',-0.575
'[10:42:02.703]',-0.565
'[10:42:02.711]',-0.555
'[10:42:02.719]',-0.545
'[10:42:02.727]',-0.545
'[10:42:02.734]',-0.535
'[10:42:02.742]',-0.535
'[10:42:02.750]',-0.525
'[10:42:02.758]',-0.515
'[10:42:02.766]',-0.505
'[10:42:02.773]',-0.505
'[10:42:02.781]',-0.495
'[10:42:02.789]',-0.485
'[10:42:02.797]',-0.475
'[10:42:02.805]',-0.465
'[10:42:02.813]',-0.465
'[10:42:02.820]',-0.455
'[10:42:02.828]',-0.445
'[10:42:02.836]',-0.435
'[10:42:02.844]',-0.425
'[10:42:02.852]',-0.415
'[10:42:02.859]',-0.415
'[10:42:02.867]',-0.405
'[10:42:02.875]',-0.395
'[10:42:02.883]',-0.395
'[10:42:02.891]',-0.385
'[10:42:02.898]',-0.375
'[10:42:02.906]',-0.365
'[10:42:02.914]',-0.355
'[10:42:02.922]',-0.355
'[10:42:02.930]',-0.345
'[10:42:02.938]',-0.335
'[10:42:02.945]',-0.325
'[10:42:02.953]',-0.325
'[10:42:02.961]',-0.295
'[10:42:02.969]',-0.235
'[10:42:02.977]',0.815
'[10:42:02.984]',0.735
'[10:42:02.992]',0.715
'[10:42:03.000]',0.705
'[10:42:03.008]',0.705
'[10:42:03.016]',0.695
'[10:42:03.023]',0.685
'[10:42:03.031]',0.665
'[10:42:03.039]',0.665
'[10:42:03.047]',0.645
'[10:42:03.055]',0.635
'[10:42:03.063]',0.625
'[10:42:03.070]',0.615
'[10:42:03.078]',0.605
'[10:42:03.086]',0.595
'[10:42:03.094]',0.585
'[10:42:03.102]',0.575
'[10:42:03.109]',0.565
'[10:42:03.117]',0.555
'[10:42:03.125]',0.555
'[10:42:03.133]',0.545
'[10:42:03.141]',0.525
'[10:42:03.148]',0.515
'[10:42:03.156]',0.505
'[10:42:03.164]',0.495
'[10:42:03.172]',0.485
'[10:42:03.180]',0.485
'[10:42:03.188]',0.475
'[10:42:03.195]',0.465
'[10:42:03.203]',0.445
'[10:42:03.211]',0.445
'[10:42:03.219]',0.435
'[10:42:03.227]',0.435
'[10:42:03.234]',0.415
'[10:42:03.242]',0.415
'[10:42:03.250]',0.405
'[10:42:03.258]',0.395
'[10:42:03.266]',0.385
'[10:42:03.273]',0.385
'[10:42:03.281]',0.375
'[10:42:03.289]',0.355
'[10:42:03.297]',0.355
'[10:42:03.305]',0.345
'[10:42:03.313]',0.335
'[10:42:03.320]',0.335
'[10:42:03.328]',0.315
'[10:42:03.336]',0.315
'[10:42:03.344]',0.305
'[10:42:03.352]',0.295
'[10:42:03.359]',0.285
'[10:42:03.367]',0.275
'[10:42:03.375]',0.275
'[10:42:03.383]',0.265
'[10:42:03.391]',0.255
'[10:42:03.398]',0.255
'[10:42:03.406]',0.245
'[10:42:03.414]',0.235
'[10:42:03.422]',0.225
'[10:42:03.430]',0.225
'[10:42:03.438]',0.215
'[10:42:03.445]',0.205
'[10:42:03.453]',0.185
'[10:42:03.461]',0.155
'[10:42:03.469]',-0.735
'[10:42:03.477]',-0.905
'[10:42:03.484]',-0.855
'[10:42:03.492]',-0.835
'[10:42:03.500]',-0.815
'[10:42:03.508]',-0.805
'[10:42:03.516]',-0.805
'[10:42:03.523]',-0.795
'[10:42:03.531]',-0.785
'[10:42:03.539]',-0.775
'[10:42:03.547]',-0.775
'[10:42:03.555]',-0.755
'[10:42:03.563]',-0.745
'[10:42:03.570]',-0.735
'[10:42:03.578]',-0.725
'[10:42:03.586]',-0.715
'[10:42:03.594]',-0.705
'[10:42:03.602]',-0.695
'[10:42:03.609]',-0.685
'[10:42:03.617]',-0.675
'[10:42:03.625]',-0.675
'[10:42:03.633]',-0.655
'[10:42:03.641]',-0.655
'[10:42:03.648]',-0.635
'[10:42:03.656]',-0.635
'[10:42:03.664]',-0.615
'[10:42:03.672]',-0.615
'[10:42:03.680]',-0.605
'[10:42:03.688]',-0.595
'[10:42:03.695]',-0.585
'[10:42:03.703]',-0.575
'[10:42:03.711]',-0.565
'[10:42:03.719]',-0.555
'[10:42:03.727]',-0.545
'[10:42:03.734]',-0.545
'[10:42:03.742]',-0.525
'[10:42:03.750]',-0.525
'[10:42:03.758]',-0.505
'[10:42:03.766]',-0.505
'[10:42:03.773]',-0.495
'[10:42:03.781]',-0.495
'[10:42:03.789]',-0.485
'[10:42:03.797]',-0.475
'[10:42:03.805]',-0.465
'[10:42:03.813]',-0.455
'[10:42:03.820]',-0.455
'[10:42:03.828]',-0.445
'[10:42:03.836]',-0.435
'[10:42:03.844]',-0.435
'[10:42:03.852]',-0.425
'[10:42:03.859]',-0.415
'[10:42:03.867]',-0.405
'[10:42:03.875]',-0.405
'[10:42:03.883]',-0.395
'[10:42:03.891]',-0.385
'[10:42:03.898]',-0.375
'[10:42:03.906]',-0.375
'[10:42:03.914]',-0.365
'[10:42:03.922]',-0.365
'[10:42:03.930]',-0.345
'[10:42:03.938]',-0.335
