'Time','ECG1'
'[08:40:00.000]',-0.185
'[08:40:00.008]',-0.155
'[08:40:00.016]',-0.145
'[08:40:00.023]',-0.135
'[08:40:00.031]',-0.105
'[08:40:00.039]',-0.095
'[08:40:00.047]',-0.095
'[08:40:00.055]',-0.065
'[08:40:00.063]',-0.055
'[08:40:00.070]',-0.025
'[08:40:00.078]',-0.005
'[08:40:00.086]',0.025
'[08:40:00.094]',0.045
'[08:40:00.102]',0.075
'[08:40:00.109]',0.095
'[08:40:00.117]',0.105
'[08:40:00.125]',0.105
'[08:40:00.133]',0.115
'[08:40:00.141]',0.105
'[08:40:00.148]',0.075
'[08:40:00.156]',0.045
'[08:40:00.164]',0.005
'[08:40:00.172]',-0.045
'[08:40:00.180]',-0.075
'[08:40:00.188]',-0.105
'[08:40:00.195]',-0.115
'[08:40:00.203]',-0.125
'[08:40:00.211]',-0.125
'[08:40:00.219]',-0.125
'[08:40:00.227]',-0.125
'[08:40:00.234]',-0.125
'[08:40:00.242]',-0.135
'[08:40:00.250]',-0.135
'[08:40:00.258]',-0.135
'[08:40:00.266]',-0.135
'[08:40:00.273]',-0.125
'[08:40:00.281]',-0.125
'[08:40:00.289]',-0.125
'[08:40:00.297]',-0.135
'[08:40:00.305]',-0.135
'[08:40:00.313]',-0.155
'[08:40:00.320]',-0.145
'[08:40:00.328]',-0.165
'[08:40:00.336]',-0.165
'[08:40:00.344]',-0.155
'[08:40:00.352]',-0.175
'[08:40:00.359]',-0.165
'[08:40:00.367]',-0.145
'[08:40:00.375]',-0.095
'[08:40:00.383]',-0.045
'[08:40:00.391]',-0.055
'[08:40:00.398]',-0.105
'[08:40:00.406]',-0.105
'[08:40:00.414]',-0.165
'[08:40:00.422]',-0.195
'[08:40:00.430]',-0.205
'[08:40:00.438]',-0.225
'[08:40:00.445]',-0.215
'[08:40:00.453]',-0.215
'[08:40:00.461]',-0.215
'[08:40:00.469]',-0.205
'[08:40:00.477]',-0.205
'[08:40:00.484]',-0.215
'[08:40:00.492]',-0.215
'[08:40:00.500]',-0.215
'[08:40:00.508]',-0.215
'[08:40:00.516]',-0.195
'[08:40:00.523]',-0.175
'[08:40:00.531]',-0.265
'[08:40:00.539]',-0.435
'[08:40:00.547]',-0.235
'[08:40:00.555]',0.385
'[08:40:00.563]',1325
'[08:40:00.570]',1495
'[08:40:00.578]',0.355
'[08:40:00.586]',-0.515
'[08:40:00.594]',-0.565
'[08:40:00.602]',-0.365
'[08:40:00.609]',-0.225
'[08:40:00.617]',-0.205
'[08:40:00.625]',-0.215
'[08:40:00.633]',-0.235
'[08:40:00.641]',-0.225
'[08:40:00.648]',-0.225
'[08:40:00.656]',-0.215
'[08:40:00.664]',-0.195
'[08:40:00.672]',-0.195
'[08:40:00.680]',-0.205
'[08:40:00.688]',-0.175
'[08:40:00.695]',-0.185
'[08:40:00.703]',-0.175
'[08:40:00.711]',-0.165
'[08:40:00.719]',-0.145
'[08:40:00.727]',-0.125
'[08:40:00.734]',-0.115
'[08:40:00.742]',-0.105
'[08:40:00.750]',-0.085
'[08:40:00.758]',-0.085
'[08:40:00.766]',-0.055
'[08:40:00.773]',-0.045
'[08:40:00.781]',-0.015
'[08:40:00.789]',0.015
'[08:40:00.797]',0.035
'[08:40:00.805]',0.045
'[08:40:00.813]',0.085
'[08:40:00.820]',0.105
'[08:40:00.828]',0.135
'[08:40:00.836]',0.145
'[08:40:00.844]',0.155
'[08:40:00.852]',0.165
'[08:40:00.859]',0.145
'[08:40:00.867]',0.105
'[08:40:00.875]',0.085
'[08:40:00.883]',0.035
'[08:40:00.891]',0.005
'[08:40:00.898]',-0.035
'[08:40:00.906]',-0.065
'[08:40:00.914]',-0.065
'[08:40:00.922]',-0.085
'[08:40:00.930]',-0.095
'[08:40:00.938]',-0.095
'[08:40:00.945]',-0.095
'[08:40:00.953]',-0.105
'[08:40:00.961]',-0.105
'[08:40:00.969]',-0.085
'[08:40:00.977]',-0.085
'[08:40:00.984]',-0.095
'[08:40:00.992]',-0.095
'[08:40:01.000]',-0.085
'[08:40:01.008]',-0.085
'[08:40:01.016]',-0.085
'[08:40:01.023]',-0.095
'[08:40:01.031]',-0.085
'[08:40:01.039]',-0.085
'[08:40:01.047]',-0.095
'[08:40:01.055]',-0.105
'[08:40:01.063]',-0.125
'[08:40:01.070]',-0.115
'[08:40:01.078]',-0.125
'[08:40:01.086]',-0.135
'[08:40:01.094]',-0.125
'[08:40:01.102]',-0.115
'[08:40:01.109]',-0.135
'[08:40:01.117]',-0.145
'[08:40:01.125]',-0.125
'[08:40:01.133]',-0.065
'[08:40:01.141]',0.005
'[08:40:01.148]',0.005
'[08:40:01.156]',-0.035
'[08:40:01.164]',-0.055
'[08:40:01.172]',-0.085
'[08:40:01.180]',-0.135
'[08:40:01.188]',-0.145
'[08:40:01.195]',-0.165
'[08:40:01.203]',-0.165
'[08:40:01.211]',-0.165
'[08:40:01.219]',-0.175
'[08:40:01.227]',-0.155
'[08:40:01.234]',-0.165
'[08:40:01.242]',-0.175
'[08:40:01.250]',-0.155
'[08:40:01.258]',-0.165
'[08:40:01.266]',-0.155
'[08:40:01.273]',-0.145
'[08:40:01.281]',-0.155
'[08:40:01.289]',-0.395
'[08:40:01.297]',-0.255
'[08:40:01.305]',0.355
'[08:40:01.313]',1455
'[08:40:01.320]',1535
'[08:40:01.328]',0.085
'[08:40:01.336]',-0.575
'[08:40:01.344]',-0.455
'[08:40:01.352]',-0.225
'[08:40:01.359]',-0.125
'[08:40:01.367]',-0.155
'[08:40:01.375]',-0.185
'[08:40:01.383]',-0.175
'[08:40:01.391]',-0.175
'[08:40:01.398]',-0.175
'[08:40:01.406]',-0.155
'[08:40:01.414]',-0.165
'[08:40:01.422]',-0.155
'[08:40:01.430]',-0.155
'[08:40:01.438]',-0.145
'[08:40:01.445]',-0.125
'[08:40:01.453]',-0.125
'[08:40:01.461]',-0.115
'[08:40:01.469]',-0.095
'[08:40:01.477]',-0.085
'[08:40:01.484]',-0.065
'[08:40:01.492]',-0.055
'[08:40:01.500]',-0.055
'[08:40:01.508]',-0.025
'[08:40:01.516]',-0.005
'[08:40:01.523]',0.015
'[08:40:01.531]',0.045
'[08:40:01.539]',0.065
'[08:40:01.547]',0.075
'[08:40:01.555]',0.105
'[08:40:01.563]',0.135
'[08:40:01.570]',0.175
'[08:40:01.578]',0.195
'[08:40:01.586]',0.215
'[08:40:01.594]',0.235
'[08:40:01.602]',0.225
'[08:40:01.609]',0.195
'[08:40:01.617]',0.165
'[08:40:01.625]',0.115
'[08:40:01.633]',0.095
'[08:40:01.641]',0.045
'[08:40:01.648]',0.015
'[08:40:01.656]',-0.015
'[08:40:01.664]',-0.035
'[08:40:01.672]',-0.045
'[08:40:01.680]',-0.055
'[08:40:01.688]',-0.065
'[08:40:01.695]',-0.055
'[08:40:01.703]',-0.055
'[08:40:01.711]',-0.045
'[08:40:01.719]',-0.035
'[08:40:01.727]',-0.045
'[08:40:01.734]',-0.045
'[08:40:01.742]',-0.045
'[08:40:01.750]',-0.065
'[08:40:01.758]',-0.055
'[08:40:01.766]',-0.045
'[08:40:01.773]',-0.045
'[08:40:01.781]',-0.045
'[08:40:01.789]',-0.045
'[08:40:01.797]',-0.045
'[08:40:01.805]',-0.055
'[08:40:01.813]',-0.075
'[08:40:01.820]',-0.065
'[08:40:01.828]',-0.085
'[08:40:01.836]',-0.095
'[08:40:01.844]',-0.095
'[08:40:01.852]',-0.095
'[08:40:01.859]',-0.095
'[08:40:01.867]',-0.095
'[08:40:01.875]',-0.115
'[08:40:01.883]',-0.105
'[08:40:01.891]',-0.105
'[08:40:01.898]',-0.085
'[08:40:01.906]',-0.005
'[08:40:01.914]',0.055
'[08:40:01.922]',0.035
'[08:40:01.930]',-0.025
'[08:40:01.938]',-0.075
'[08:40:01.945]',-0.085
'[08:40:01.953]',-0.105
'[08:40:01.961]',-0.135
'[08:40:01.969]',-0.145
'[08:40:01.977]',-0.125
'[08:40:01.984]',-0.125
'[08:40:01.992]',-0.145
'[08:40:02.000]',-0.145
'[08:40:02.008]',-0.155
'[08:40:02.016]',-0.155
'[08:40:02.023]',-0.145
'[08:40:02.031]',-0.145
'[08:40:02.039]',-0.125
'[08:40:02.047]',-0.125
'[08:40:02.055]',-0.115
'[08:40:02.063]',-0.245
'[08:40:02.070]',-0.425
'[08:40:02.078]',-0.035
'[08:40:02.086]',0.775
'[08:40:02.094]',1745
'[08:40:02.102]',0.975
'[08:40:02.109]',-0.335
'[08:40:02.117]',-0.535
'[08:40:02.125]',-0.355
'[08:40:02.133]',-0.155
'[08:40:02.141]',-0.125
'[08:40:02.148]',-0.145
'[08:40:02.156]',-0.165
'[08:40:02.164]',-0.145
'[08:40:02.172]',-0.155
'[08:40:02.180]',-0.155
'[08:40:02.188]',-0.135
'[08:40:02.195]',-0.145
'[08:40:02.203]',-0.135
'[08:40:02.211]',-0.135
'[08:40:02.219]',-0.125
'[08:40:02.227]',-0.105
'[08:40:02.234]',-0.095
'[08:40:02.242]',-0.095
'[08:40:02.250]',-0.085
'[08:40:02.258]',-0.045
'[08:40:02.266]',-0.035
'[08:40:02.273]',-0.025
'[08:40:02.281]',0.005
'[08:40:02.289]',0.015
'[08:40:02.297]',0.025
'[08:40:02.305]',0.065
'[08:40:02.313]',0.075
'[08:40:02.320]',0.105
'[08:40:02.328]',0.135
'[08:40:02.336]',0.165
'[08:40:02.344]',0.195
'[08:40:02.352]',0.205
'[08:40:02.359]',0.215
'[08:40:02.367]',0.225
'[08:40:02.375]',0.195
'[08:40:02.383]',0.185
'[08:40:02.391]',0.135
'[08:40:02.398]',0.085
'[08:40:02.406]',0.065
'[08:40:02.414]',0.035
'[08:40:02.422]',-0.015
'[08:40:02.430]',-0.015
'[08:40:02.438]',-0.055
'[08:40:02.445]',-0.045
'[08:40:02.453]',-0.065
'[08:40:02.461]',-0.055
'[08:40:02.469]',-0.045
'[08:40:02.477]',-0.055
'[08:40:02.484]',-0.055
'[08:40:02.492]',-0.045
'[08:40:02.500]',-0.055
'[08:40:02.508]',-0.055
'[08:40:02.516]',-0.045
'[08:40:02.523]',-0.065
'[08:40:02.531]',-0.055
'[08:40:02.539]',-0.045
'[08:40:02.547]',-0.055
'[08:40:02.555]',-0.055
'[08:40:02.563]',-0.075
'[08:40:02.570]',-0.065
'[08:40:02.578]',-0.075
'[08:40:02.586]',-0.085
'[08:40:02.594]',-0.085
'[08:40:02.602]',-0.085
'[08:40:02.609]',-0.105
'[08:40:02.617]',-0.095
'[08:40:02.625]',-0.105
'[08:40:02.633]',-0.105
'[08:40:02.641]',-0.115
'[08:40:02.648]',-0.105
'[08:40:02.656]',-0.065
'[08:40:02.664]',-0.005
'[08:40:02.672]',0.035
'[08:40:02.680]',0.015
'[08:40:02.688]',-0.055
'[08:40:02.695]',-0.055
'[08:40:02.703]',-0.095
'[08:40:02.711]',-0.125
'[08:40:02.719]',-0.125
'[08:40:02.727]',-0.125
'[08:40:02.734]',-0.145
'[08:40:02.742]',-0.145
'[08:40:02.750]',-0.155
'[08:40:02.758]',-0.145
'[08:40:02.766]',-0.145
