'Time','ECG1'
'[11:06:00.000]',-0.035
'[11:06:00.008]',-0.015
'[11:06:00.016]',-0.045
'[11:06:00.023]',-0.025
'[11:06:00.031]',-0.035
'[11:06:00.039]',-0.035
'[11:06:00.047]',-0.015
'[11:06:00.055]',-0.015
'[11:06:00.063]',-0.045
'[11:06:00.070]',-0.015
'[11:06:00.078]',-0.015
'[11:06:00.086]',-0.015
'[11:06:00.094]',-0.005
'[11:06:00.102]',0.025
'[11:06:00.109]',0.025
'[11:06:00.117]',0.055
'[11:06:00.125]',0.045
'[11:06:00.133]',0.045
'[11:06:00.141]',0.035
'[11:06:00.148]',0.015
'[11:06:00.156]',0.015
'[11:06:00.164]',-0.035
'[11:06:00.172]',-0.045
'[11:06:00.180]',-0.035
'[11:06:00.188]',-0.065
'[11:06:00.195]',-0.055
'[11:06:00.203]',-0.065
'[11:06:00.211]',-0.075
'[11:06:00.219]',-0.055
'[11:06:00.227]',-0.045
'[11:06:00.234]',-0.075
'[11:06:00.242]',-0.035
'[11:06:00.250]',-0.035
'[11:06:00.258]',-0.025
'[11:06:00.266]',0.005
'[11:06:00.273]',0.025
'[11:06:00.281]',0.235
'[11:06:00.289]',0.875
'[11:06:00.297]',1415
'[11:06:00.305]',0.855
'[11:06:00.313]',-0.215
'[11:06:00.320]',-0.465
'[11:06:00.328]',-0.165
'[11:06:00.336]',-0.095
'[11:06:00.344]',-0.095
'[11:06:00.352]',-0.115
'[11:06:00.359]',-0.115
'[11:06:00.367]',-0.105
'[11:06:00.375]',-0.095
'[11:06:00.383]',-0.105
'[11:06:00.391]',-0.105
'[11:06:00.398]',-0.095
'[11:06:00.406]',-0.095
'[11:06:00.414]',-0.105
'[11:06:00.422]',-0.105
'[11:06:00.430]',-0.115
'[11:06:00.438]',-0.105
'[11:06:00.445]',-0.125
'[11:06:00.453]',-0.115
'[11:06:00.461]',-0.105
'[11:06:00.469]',-0.075
'[11:06:00.477]',-0.105
'[11:06:00.484]',-0.105
'[11:06:00.492]',-0.115
'[11:06:00.500]',-0.135
'[11:06:00.508]',-0.135
'[11:06:00.516]',-0.155
'[11:06:00.523]',-0.135
'[11:06:00.531]',-0.155
'[11:06:00.539]',-0.105
'[11:06:00.547]',-0.155
'[11:06:00.555]',-0.115
'[11:06:00.563]',-0.105
'[11:06:00.570]',-0.095
'[11:06:00.578]',-0.065
'[11:06:00.586]',-0.045
'[11:06:00.594]',-0.025
'[11:06:00.602]',-0.055
'[11:06:00.609]',-0.025
'[11:06:00.617]',-0.045
'[11:06:00.625]',-0.075
'[11:06:00.633]',-0.065
'[11:06:00.641]',-0.065
'[11:06:00.648]',-0.055
'[11:06:00.656]',-0.065
'[11:06:00.664]',-0.075
'[11:06:00.672]',-0.065
'[11:06:00.680]',-0.075
'[11:06:00.688]',-0.055
'[11:06:00.695]',-0.045
'[11:06:00.703]',-0.055
'[11:06:00.711]',-0.055
'[11:06:00.719]',-0.055
'[11:06:00.727]',-0.055
'[11:06:00.734]',-0.025
'[11:06:00.742]',-0.035
'[11:06:00.750]',-0.045
'[11:06:00.758]',-0.035
'[11:06:00.766]',-0.035
'[11:06:00.773]',-0.025
'[11:06:00.781]',0.005
'[11:06:00.789]',-0.055
'[11:06:00.797]',-0.055
'[11:06:00.805]',-0.015
'[11:06:00.813]',-0.005
'[11:06:00.820]',-0.055
'[11:06:00.828]',-0.045
'[11:06:00.836]',-0.055
'[11:06:00.844]',-0.025
'[11:06:00.852]',-0.035
'[11:06:00.859]',-0.045
'[11:06:00.867]',-0.045
'[11:06:00.875]',-0.015
'[11:06:00.883]',-0.045
'[11:06:00.891]',-0.035
'[11:06:00.898]',-0.015
'[11:06:00.906]',-0.005
'[11:06:00.914]',-0.045
'[11:06:00.922]',-0.035
'[11:06:00.930]',-0.015
'[11:06:00.938]',-0.015
'[11:06:00.945]',-0.015
'[11:06:00.953]',-0.025
'[11:06:00.961]',-0.025
'[11:06:00.969]',0.005
'[11:06:00.977]',0.025
'[11:06:00.984]',0.005
'[11:06:00.992]',0.045
'[11:06:01.000]',0.065
'[11:06:01.008]',0.055
'[11:06:01.016]',0.075
'[11:06:01.023]',0.065
'[11:06:01.031]',0.055
'[11:06:01.039]',0.015
'[11:06:01.047]',0.035
'[11:06:01.055]',0.015
'[11:06:01.063]',-0.045
'[11:06:01.070]',-0.045
'[11:06:01.078]',-0.065
'[11:06:01.086]',-0.065
'[11:06:01.094]',-0.045
'[11:06:01.102]',-0.065
'[11:06:01.109]',-0.035
'[11:06:01.117]',-0.015
'[11:06:01.125]',-0.045
'[11:06:01.133]',-0.045
'[11:06:01.141]',-0.005
'[11:06:01.148]',-0.015
'[11:06:01.156]',0.015
'[11:06:01.164]',0.035
'[11:06:01.172]',0.215
'[11:06:01.180]',0.845
'[11:06:01.188]',1395
'[11:06:01.195]',1155
'[11:06:01.203]',0.205
'[11:06:01.211]',-0.525
'[11:06:01.219]',-0.265
'[11:06:01.227]',-0.065
'[11:06:01.234]',-0.055
'[11:06:01.242]',-0.065
'[11:06:01.250]',-0.095
'[11:06:01.258]',-0.115
'[11:06:01.266]',-0.075
'[11:06:01.273]',-0.115
'[11:06:01.281]',-0.095
'[11:06:01.289]',-0.105
'[11:06:01.297]',-0.095
'[11:06:01.305]',-0.095
'[11:06:01.313]',-0.105
'[11:06:01.320]',-0.105
'[11:06:01.328]',-0.095
'[11:06:01.336]',-0.125
'[11:06:01.344]',-0.105
'[11:06:01.352]',-0.105
'[11:06:01.359]',-0.125
'[11:06:01.367]',-0.085
'[11:06:01.375]',-0.105
'[11:06:01.383]',-0.105
'[11:06:01.391]',-0.105
'[11:06:01.398]',-0.125
'[11:06:01.406]',-0.115
'[11:06:01.414]',-0.155
'[11:06:01.422]',-0.135
'[11:06:01.430]',-0.115
'[11:06:01.438]',-0.135
'[11:06:01.445]',-0.105
'[11:06:01.453]',-0.125
'[11:06:01.461]',-0.085
'[11:06:01.469]',-0.075
'[11:06:01.477]',-0.025
'[11:06:01.484]',-0.045
'[11:06:01.492]',-0.025
