'Time','ECG1'
'[10:58:00.000]',0.365
'[10:58:00.008]',0.365
'[10:58:00.016]',0.355
'[10:58:00.023]',0.355
'[10:58:00.031]',0.345
'[10:58:00.039]',0.335
'[10:58:00.047]',0.335
'[10:58:00.055]',0.325
'[10:58:00.063]',0.315
'[10:58:00.070]',0.315
'[10:58:00.078]',0.305
'[10:58:00.086]',0.295
'[10:58:00.094]',0.295
'[10:58:00.102]',0.285
'[10:58:00.109]',0.275
'[10:58:00.117]',0.275
'[10:58:00.125]',0.265
'[10:58:00.133]',0.255
'[10:58:00.141]',0.245
'[10:58:00.148]',0.245
'[10:58:00.156]',0.235
'[10:58:00.164]',0.235
'[10:58:00.172]',0.215
'[10:58:00.180]',0.215
'[10:58:00.188]',0.205
'[10:58:00.195]',0.195
'[10:58:00.203]',0.185
'[10:58:00.211]',0.175
'[10:58:00.219]',0.165
'[10:58:00.227]',0.155
'[10:58:00.234]',0.135
'[10:58:00.242]',0.135
'[10:58:00.250]',0.115
'[10:58:00.258]',0.105
'[10:58:00.266]',0.075
'[10:58:00.273]',-0.415
'[10:58:00.281]',-0.645
'[10:58:00.289]',-0.575
'[10:58:00.297]',-0.535
'[10:58:00.305]',-0.535
'[10:58:00.313]',-0.525
'[10:58:00.320]',-0.525
'[10:58:00.328]',-0.525
'[10:58:00.336]',-0.525
'[10:58:00.344]',-0.515
'[10:58:00.352]',-0.515
'[10:58:00.359]',-0.505
'[10:58:00.367]',-0.515
'[10:58:00.375]',-0.505
'[10:58:00.383]',-0.505
'[10:58:00.391]',-0.495
'[10:58:00.398]',-0.495
'[10:58:00.406]',-0.485
'[10:58:00.414]',-0.485
'[10:58:00.422]',-0.475
'[10:58:00.430]',-0.475
'[10:58:00.438]',-0.465
'[10:58:00.445]',-0.465
'[10:58:00.453]',-0.455
'[10:58:00.461]',-0.455
'[10:58:00.469]',-0.445
'[10:58:00.477]',-0.435
'[10:58:00.484]',-0.435
'[10:58:00.492]',-0.425
'[10:58:00.500]',-0.425
'[10:58:00.508]',-0.415
'[10:58:00.516]',-0.405
'[10:58:00.523]',-0.405
'[10:58:00.531]',-0.395
'[10:58:00.539]',-0.385
'[10:58:00.547]',-0.385
'[10:58:00.555]',-0.375
'[10:58:00.563]',-0.375
'[10:58:00.570]',-0.355
'[10:58:00.578]',-0.355
'[10:58:00.586]',-0.355
'[10:58:00.594]',-0.345
'[10:58:00.602]',-0.335
'[10:58:00.609]',-0.335
'[10:58:00.617]',-0.325
'[10:58:00.625]',-0.315
'[10:58:00.633]',-0.305
'[10:58:00.641]',-0.305
'[10:58:00.648]',-0.295
'[10:58:00.656]',-0.285
'[10:58:00.664]',-0.275
'[10:58:00.672]',-0.265
'[10:58:00.680]',-0.255
'[10:58:00.688]',-0.255
'[10:58:00.695]',-0.235
'[10:58:00.703]',-0.235
'[10:58:00.711]',-0.225
'[10:58:00.719]',-0.215
'[10:58:00.727]',-0.205
'[10:58:00.734]',-0.185
'[10:58:00.742]',-0.175
'[10:58:00.750]',-0.165
'[10:58:00.758]',-0.145
'[10:58:00.766]',-0.125
'[10:58:00.773]',0.365
'[10:58:00.781]',0.595
'[10:58:00.789]',0.525
'[10:58:00.797]',0.495
'[10:58:00.805]',0.485
'[10:58:00.813]',0.485
'[10:58:00.820]',0.475
'[10:58:00.828]',0.475
'[10:58:00.836]',0.475
'[10:58:00.844]',0.475
'[10:58:00.852]',0.465
'[10:58:00.859]',0.465
'[10:58:00.867]',0.465
'[10:58:00.875]',0.455
'[10:58:00.883]',0.455
'[10:58:00.891]',0.455
'[10:58:00.898]',0.445
'[10:58:00.906]',0.445
'[10:58:00.914]',0.435
'[10:58:00.922]',0.435
'[10:58:00.930]',0.435
'[10:58:00.938]',0.425
'[10:58:00.945]',0.415
'[10:58:00.953]',0.405
'[10:58:00.961]',0.405
'[10:58:00.969]',0.405
'[10:58:00.977]',0.395
'[10:58:00.984]',0.385
'[10:58:00.992]',0.385
'[10:58:01.000]',0.375
'[10:58:01.008]',0.375
'[10:58:01.016]',0.365
'[10:58:01.023]',0.355
'[10:58:01.031]',0.355
'[10:58:01.039]',0.345
'[10:58:01.047]',0.335
'[10:58:01.055]',0.335
'[10:58:01.063]',0.325
'[10:58:01.070]',0.325
'[10:58:01.078]',0.305
'[10:58:01.086]',0.305
'[10:58:01.094]',0.295
'[10:58:01.102]',0.295
